true_label,window_size_ms,stride_ms,fold_seed,train_windows,test_windows,val_subjects,best_epoch,val_j,val_f1,val_acc,threshold,test_median_prob,test_pred,test_correct,signed_margin,fold,pid,window_label,train_subjects,validation_subjects_available
1,1500,750,48,14990,131,9,13,0.9999999550000009,1.0,1.0,0.47000000000000014,0.447509765625,0,0,-0.02249023437500014,6,6,1500/750,47,9
1,1000,500,48,23776,218,9,6,0.9999999550000009,1.0,1.0,0.48000000000000015,0.4921875,1,1,0.012187499999999851,6,6,1000/500,47,9
1,2000,500,48,20281,162,9,3,0.9999999550000009,1.0,1.0,0.4300000000000001,0.44580078125,1,1,0.015800781249999896,6,6,2000/500,47,9
1,2000,1000,49,10705,35,9,4,0.9999999550000009,1.0,1.0,0.37000000000000005,0.8974609375,1,1,0.5274609374999999,7,7,2000/1000,47,9
1,1500,750,49,15231,56,9,8,0.9999999550000009,1.0,1.0,0.37000000000000005,0.953125,1,1,0.5831249999999999,7,7,1500/750,47,9
1,1000,500,49,24226,86,9,2,0.9999999550000009,1.0,1.0,0.4200000000000001,0.830078125,1,1,0.4100781249999999,7,7,1000/500,47,9
1,2000,500,49,20714,67,9,2,0.7999999590000009,0.8888888888888888,0.8888888888888888,0.32,0.87158203125,1,1,0.5515820312499999,7,7,2000/500,47,9
1,2000,1000,50,11350,30,9,4,0.9999999550000009,1.0,1.0,0.4200000000000001,0.80029296875,1,1,0.3802929687499999,8,8,2000/1000,47,9
1,1500,750,50,16181,46,9,3,0.9999999550000009,1.0,1.0,0.4000000000000001,0.7919921875,1,1,0.3919921874999999,8,8,1500/750,47,9
1,1000,500,50,25664,81,9,3,0.9999999550000009,1.0,1.0,0.49000000000000016,0.80419921875,1,1,0.31419921874999984,8,8,1000/500,47,9
1,2000,500,50,22034,52,9,3,0.9999999550000009,1.0,1.0,0.4400000000000001,0.8466796875,1,1,0.4066796874999999,8,8,2000/500,47,9
1,2000,1000,51,10830,29,9,3,0.7999999590000009,0.8888888888888888,0.8888888888888888,0.36000000000000004,0.6318359375,1,1,0.27183593749999996,9,9,2000/1000,47,9
1,1500,750,51,15445,44,9,3,0.7999999590000009,0.8888888888888888,0.8888888888888888,0.3,0.60302734375,1,1,0.30302734375,9,9,1500/750,47,9
1,1000,500,51,24558,73,9,2,0.7999999590000009,0.8888888888888888,0.8888888888888888,0.38000000000000006,0.6435546875,1,1,0.26355468749999994,9,9,1000/500,47,9
1,2000,500,51,20925,56,9,3,0.7999999590000009,0.8888888888888888,0.8888888888888888,0.3,0.7490234375,1,1,0.4490234375,9,9,2000/500,47,9
1,2000,1000,52,10542,107,9,11,0.5999999630000008,0.8,0.7777777777777778,0.39000000000000007,0.410400390625,1,1,0.02040039062499993,10,10,2000/1000,47,9
1,1500,750,52,15027,159,9,11,0.5499999652500007,0.75,0.7777777777777778,0.4300000000000001,0.3193359375,0,0,-0.1106640625000001,10,10,1500/750,47,9
1,1000,500,52,23877,265,9,1,0.7499999612500008,0.8571428571428571,0.8888888888888888,0.33,0.27197265625,0,0,-0.058027343750000016,10,10,1000/500,47,9
1,2000,500,52,20343,187,9,1,0.7499999612500008,0.8571428571428571,0.8888888888888888,0.31,0.26025390625,0,0,-0.04974609375,10,10,2000/500,47,9
1,2000,1000,53,10532,150,9,3,0.9999999550000009,1.0,1.0,0.39000000000000007,0.76171875,1,1,0.37171874999999993,11,11,2000/1000,47,9
1,1500,750,53,15051,203,9,2,0.9999999550000009,1.0,1.0,0.4300000000000001,0.83154296875,1,1,0.4015429687499999,11,11,1500/750,47,9
1,1000,500,53,23948,298,9,2,0.9999999550000009,1.0,1.0,0.38000000000000006,0.875,1,1,0.49499999999999994,11,11,1000/500,47,9
1,2000,500,53,20349,289,9,2,0.9999999550000009,1.0,1.0,0.33,0.89892578125,1,1,0.5689257812499999,11,11,2000/500,47,9
1,2000,1000,54,10760,138,9,3,0.9999999550000009,1.0,1.0,0.36000000000000004,0.75537109375,1,1,0.39537109374999996,12,13,2000/1000,47,9
1,1500,750,54,15364,208,9,3,0.9999999550000009,1.0,1.0,0.36000000000000004,0.8935546875,1,1,0.5335546874999999,12,13,1500/750,47,9
1,1000,500,54,24417,340,9,2,0.9999999550000009,1.0,1.0,0.34,0.734375,1,1,0.394375,12,13,1000/500,47,9
